TransactionAmount,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,AgeGroup,Target
-1.1119223584377067,Debit,San Diego,ATM,1.4266360181996707,Doctor,-0.5415676043705149,0.0,0.0029179859764963696,Tua,1
0.54692641293755,Debit,Houston,ATM,1.313889398582493,Doctor,0.30850152230456834,0.0,2.2165305377634645,Tua,0
-0.5979838463617608,Debit,Mesa,Online,-1.44840278203836,Student,-0.8957630738184661,0.0,-1.0185126379462432,Muda,1
-0.3313496147401851,Debit,Raleigh,Online,-1.0537896133782383,Student,-1.3349654559339257,0.0,0.8878945145532688,Muda,1
-0.7543640674158856,Debit,Oklahoma City,ATM,-1.5047760918469488,Student,0.747703904420028,0.0,-1.1057264175404542,Muda,1
-1.1440320640495818,Credit,Seattle,ATM,-0.43368320548376094,Doctor,0.2801658847487322,0.0,2.103324404741595,Dewasa,1
-0.3912633022442259,Credit,Indianapolis,Branch,1.2575160887739043,Retired,2.4336743389922764,0.0,-0.5899856953773224,Tua,0
-0.6898698227632178,Credit,Detroit,Branch,0.35554313183648284,Engineer,-0.47072851048092457,0.0,1.0225744839339677,Dewasa,0
2.5610890023318005,Debit,Nashville,ATM,0.5810363710708382,Doctor,0.010977327968289218,0.0,-1.0442336243431387,Dewasa,1
-1.0950201025592734,Credit,Albuquerque,Online,0.41191644164507163,Engineer,-0.853259617484712,0.0,0.6396858437933796,Dewasa,0
-0.30606493927976414,Debit,Memphis,Online,-1.3356561624211825,Student,0.7618717231979459,0.0,-0.9144561819804607,Muda,1
1.0887147124771477,Credit,Mesa,Branch,-1.1665362329954159,Student,-0.11653304103297325,0.0,-0.8911058170032452,Muda,1
2.4044339478487577,Debit,Memphis,ATM,-1.0537896133782383,Student,0.05348078430204337,0.0,-1.2572797840886598,Muda,1
-0.4115551704126433,Debit,Louisville,Online,-1.5047760918469488,Student,0.20932679085914196,0.0,-1.2290576128893587,Muda,0
0.9555579161665617,Debit,Denver,ATM,-0.4900565152923498,Engineer,0.13848769696955168,0.0,-0.41864045604774947,Dewasa,0
1.3694112545450081,Credit,Austin,Branch,-1.44840278203836,Student,0.5493544415291752,0.0,-1.0162316188480411,Muda,0
1.0814316266108308,Debit,Columbus,Online,-0.32093658586658325,Engineer,1.6261086686509472,0.0,0.0023445311190360293,Dewasa,0
-1.090897601125509,Credit,Albuquerque,Branch,0.8065296103051935,Retired,-0.18737213492256352,0.0,0.7289937576438523,Tua,0
-0.849044183678005,Credit,Columbus,Online,-1.5047760918469488,Student,0.7052004480862738,0.0,0.37576092584621595,Muda,0
-0.9047437586053091,Debit,Los Angeles,Branch,1.4830093280082597,Retired,-1.150783811820991,0.0,0.1664243022098919,Tua,0
-0.7835880220241258,Debit,Las Vegas,Branch,-0.3773098956751721,Doctor,-0.3715537790354982,0.0,1.0356436225381433,Dewasa,0
